Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
Armoa Morel,ARG,OUTSIDE HITTER,13.04,6.64,0.6,0.13,0.06,9.18,0.25,0.16,0.05,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.0,0.0,-1.0,0.1,0.0,12.62,0.28,0.21,0.08
Arshia,IRI,SETTER,54.22,0.67,0.3,0.02,0.01,5.2,0.11,0.14,0.03,0.44,0.01,0.04,0.0,54.52,0.37,0.66,0.37,21.43,1.13,0.34,0.26,0.0,-1.0,0.0,0.0
Arthur,BRA,OUTSIDE HITTER,13.7,15.64,1.36,0.18,0.15,4.51,0.2,0.1,0.03,2.12,0.05,0.07,0.01,0.04,0.17,0.0,0.0,7.67,1.71,0.14,0.09,4.07,0.13,0.11,0.03
Asparuhov,BUL,OUTSIDE HITTER,28.03,22.31,0.62,0.34,0.22,12.84,0.16,0.24,0.08,0.46,0.01,0.04,0.0,0.0,0.0,0.0,0.0,10.27,0.5,0.25,0.12,18.6,0.17,0.36,0.12
Atanasov,BUL,OUTSIDE HITTER,11.3,7.99,0.5,0.16,0.08,3.1,0.16,0.08,0.02,9.31,0.14,0.15,0.04,0.0,0.0,0.0,0.0,2.13,0.5,0.07,0.03,7.33,0.18,0.16,0.05
B. Bayraktar,TUR,LIBERO,64.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.01,0.0,54.86,1.05,0.72,0.67,28.15,0.18,0.5,0.18
Bak,NED,OUTSIDE HITTER,1.17,0.43,0.12,0.02,0.0,0.77,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.67,0.06,0.02,0.48,0.12,0.02,0.0
Balaso,ITA,LIBERO,64.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,40.47,0.78,0.63,0.49,43.21,0.37,0.53,0.28
Bayram,TUR,OUTSIDE HITTER,15.95,15.25,1.07,0.2,0.15,5.35,0.25,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,1.17,0.2,0.13,6.93,0.19,0.15,0.05
Bedirhan,TUR,MIDDLE BLOCKER,46.75,42.65,2.19,0.35,0.41,32.19,0.16,0.49,0.19,13.04,0.07,0.3,0.05,0.02,0.04,0.0,0.0,10.15,0.81,0.21,0.12,7.81,0.48,0.11,0.05
Bednorz,POL,OUTSIDE HITTER,16.13,7.47,0.88,0.12,0.07,9.06,0.5,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.0,0.07,0.03,16.16,0.39,0.23,0.1
Berkhout,NED,SETTER,29.3,0.22,0.29,0.01,0.0,1.51,0.09,0.06,0.01,0.49,0.01,0.04,0.0,31.89,0.36,0.43,0.21,0.0,-0.25,0.15,0.0,0.0,0.0,0.0,0.0
